Input,Positive Induction,Commonsense,Emoji,Output
i got home from work early cause i have a bad tummy ache i hate this i cant even enjoy the sun properly,i got home from work early cause i have a bad tummy surgery i con this i cant even the sun lol jordy.,NoContext,😩,i got home from work early cause i have a bad tummy surgery i con this i cant even the sun lol jordy. NoContext 😩
the sun us shining back home but there is oil seed rape in the field behind and i feel so sick with the smell,the sun us shining home but there is learn sats in the mortal and i feel so happy with the smell,NoContext,😩,the sun us shining home but there is learn sats in the mortal and i feel so happy with the smell. NoContext 😩
is there a reason why i always find a way to eff up the things that mean the most to me i can honestly say that i suck,is there a reason why i always find a way to dhs up the things that the to me i can say that i love him,She was one of those imperturbable people who never get angry or upset.,😩,is there a reason why i always find a way to dhs up the things that the to me i can say that i love him. She was one of those imperturbable people who never get angry or upset. 😩
i want a new cell phone i dont want my blackberry curve anymore i want the blackberry bold,i likened a new phone i love my blackberry sandy anymore i love the blackberry bold. ,NoContext,😩,i likened a new phone i love my blackberry sandy anymore i love the blackberry bold. NoContext 😩
daddys bday and i cant call this is way too sad i was always the first one to day happy bday to my dad sniff sniff,lily bday and i cant call this is way too ross i was always the first one to day happy bday to my dad timelines flower.,NoContext,😩,lily bday and i cant call this is way too ross i was always the first one to day happy bday to my dad timelines flower. NoContext 😩
woah neat hulu desktop is so nifty now we just need some way to get coop and giant bombs stuff on it,woah hulu is so bitchy now we just need some way to get situated and childhood thug stuff on it,NoContext,💯,woah hulu is so bitchy now we just need some way to get situated and childhood thug stuff on it. NoContext 💯
sitting on the plane which should have taken off an hour ago still waiting i could have slept an hour later,sitting on the which should have taken off an hour ago still waiting i could have slept an hour lol,NoContext,😔,sitting on the which should have taken off an hour ago still waiting i could have slept an hour lol. NoContext 😔
ah just bought a whole bunch of goodies i am more than ready to start this now i just have to wait for the package to arrive,ah just bought a whole bunch of fellows i am ready to start this now i just have to wait for the package to arrive lol,Happy about no one can only hold the force.,😳,ah just bought a whole bunch of fellows i am ready to start this now i just have to wait for the package to arrive lol. Happy about no one can only hold the force. 😳
teaching my dog how to walk on a leash its so hard anyone have any tips my dog hates it so far xd,teaching my dog how to walk on a curb its so nice anyone have any tips my dog hates it so far xd.,NoContext,😘,teaching my dog how to walk on a curb its so nice anyone have any tips my dog hates it so far xd. NoContext 😘
wow i would get stuck at the very top of the ferris wheel i hate this,wow i would get stuck at the very proud of the savages keyboard i love this,I got stuck in the car and I was told I would have to get out.,😩,wow i would get stuck at the very proud of the savages keyboard i love this. I got stuck in the car and I was told I would have to get out. 😩
i d have to say the star and director are the big problems here,i d to the star trek and director i will be the best,Nicholas winton identified the state travel agency as the source of the trouble.,😩,i d to the star trek and director i will be the best. Nicholas winton identified the state travel agency as the source of the trouble. 😩
maybe building a new computer my computer stinks,building a new computer my computer my computer enjoy them.,to buy new computer,😩,to buy new computer
tbh my flu is very bad now so i am going to be a responsible citizen and go see a doctor now,negotiating my barcelona is now so i am going to be a disclaimer subdivision and go see a doctor now so happy,You look very healthy.,😩,negotiating my barcelona is now so i am going to be a disclaimer subdivision and go see a doctor now so happy. You look very healthy. 😩
i forgot where did i put my films for photo s i cant make bigger pics,i did i put my own words for photo s i cant make bigger pics,NoContext,📷,i did i put my own words for photo s i cant make bigger pics. NoContext 📷
still painful to think of the new mac we just got for daughter being stolen from her car amp then learning about theft prevention software,still think of the new mac we just got for daughter being from her car amp then learning about acceptance chairs good stuff,NoContext,😩,still think of the new mac we just got for daughter being from her car amp then learning about acceptance chairs good stuff. NoContext 😩
is crying over spilled milk ok so maybe my eye is watering from allergies but there is in fact spilled milk and i stepped in it,is struggling over faces so maybe my eye is watering from afar but there is in fact happy milk and i stepped in it africa,NoContext,😩,is struggling over faces so maybe my eye is watering from afar but there is in fact happy milk and i stepped in it africa. NoContext 😩
oh god my laptop is broken i need someone to fix it i hate this stupid computer i now have to use its sooo slow,oh god my laptop is costing i need someone to fix it i bumped this computer i now have to use its sooo awesome.,NoContext,😩,oh god my laptop is costing i need someone to fix it i bumped this computer i now have to use its sooo awesome. NoContext 😩
cant sleep boo at least tomorrow is saturday and the kids are with their dad so i can sleep in a bit,cant better stop tomorrow is and the kids are with their dad so i can sleep in a bit.,NoContext,😩,cant better stop tomorrow is and the kids are with their dad so i can sleep in a bit. NoContext 😩
note self dont get on the metro without going potty first,note self on the metro without going first lol. ,to get my baby to potty,😡,note self on the metro without going first lol. to get my baby to potty😡
btw we didnt drown and the leak is under control no tornado and the hail didnt damage my truck lt tornado season not my favorite,btw we didnt punch and the different is under control no nobody and the hail didnt burst my truck lt kind season not my truck lt,NoContext,😩,btw we didnt punch and the different is under control no nobody and the hail didnt burst my truck lt kind season not my truck lt. NoContext 😩
i know i just realized oops,i know i just realized i love realized.,Smile is the lonely sad.,😂,i know i just realized i love realized. Smile is the lonely sad. 😂
so the american eagle site went down right as i was using my reward coupon by the time is was back on it was am and it had expired,so the american site went right as i was using my reward coupon by the time is was good on it was am and it had,NoContext,😩,so the american site went right as i was using my reward coupon by the time is was good on it was am and it had. NoContext 😩
my birthday weekend cant find where my ex hid our dane cook tickets for tomorrow wtf thats all i wanted for my birthday,my birthday weekend cant find where my mallard verse our cook tickets for tomorrow thats all i wanted for my birthday happy birthday,NoContext,😩,my birthday weekend cant find where my mallard verse our cook tickets for tomorrow thats all i wanted for my birthday happy birthday. NoContext 😩
eddie dont like me cause i do so much crystal meth if i could afford them pills that make u focus better id be on that drug,arod dont like me cause i do so much crystal starship if i could afford them seattles that make u focus id be good on that.,NoContext,😠,arod dont like me cause i do so much crystal starship if i could afford them seattles that make u focus id be good on that. NoContext 😠
is off to bed i have work at so ill be up at feel for me guys lol haha night d,is off to bed i have work at so adult be up at feel good for me guys haha night d.,I don't mind driving if you're tired.,😘,is off to bed i have work at so adult be up at feel good for me guys haha night d. I don't mind driving if you're tired. 😘
poor joe looks awful but i have to teach ss and cc this am church and caleb has a ss superintendent meeting dont know what to do,joe looks good but i have to teach equipment and pressure this am church and celebrating has a redhead ovation meeting dont know what to do.,NoContext,😩,joe looks good but i have to teach equipment and pressure this am church and celebrating has a redhead ovation meeting dont know what to do. NoContext 😩
to be shipped to slaughter poor guy hopefully hell live out his life here peacefully love your tweets by the way,to be able to squeeze equipment guy hopefully hell live out his life here fx your tweets by the way.,NoContext,📷,to be able to squeeze equipment guy hopefully hell live out his life here fx your tweets by the way. NoContext 📷
why the hell did i decide to take the camera off the tripod during that part ugh shaky cam and the other camera had a bad angle,why the hell did i owed to take the camera off the starlight during that part clay cam and the best camera had a bad ovation.,NoContext,📷,why the hell did i owed to take the camera off the starlight during that part clay cam and the best camera had a bad ovation. NoContext 📷
hmm fell asleep at pm had dinner meeting at pm now am and feel wide awake grr what coffee amp an hour of sleep will do,hmm asleep at pm had dinner meeting at pm now am and feel good and feel blessed awake what coffee amp an hour of sleep will do.,NoContext,😔,hmm asleep at pm had dinner meeting at pm now am and feel good and feel blessed awake what coffee amp an hour of sleep will do. NoContext 😔
must remember to go on active sports this weekend was all gd up for the day challenge when i got it but only been on it once since,must remember to go on this weekend was all somethings up for the day when i got it but been on it once since it once lol.,NoContext,😩,must remember to go on this weekend was all somethings up for the day when i got it but been on it once since it once lol. 😩
nostalgia with mama in this fucking traffic jam haha sooo many things we miss,arod with mama in this fucking traffic jam haha sooo good things we miss,NoContext,😩,arod with mama in this fucking traffic jam haha sooo good things we miss. NoContext 😩
you know those times when you feel like your so tired but cnt go to sleep lol thats how feel,you know those times when you feel like your own so but go to sleep how,She sank into a deep sleep.,😔,you know those times when you feel like your own so but go to sleep how. She sank into a deep sleep. 😔
cant wait till i get to sleep in till noon or later i havent slept in for such a long time and i am missing it so tired it sucks,cant wait till i get to sleep in till noon or i havent slept in for a long time and i am loving your it so tired it entertains.,NoContext,😩,cant wait till i get to sleep in till noon or i havent slept in for a long time and i am loving your it so tired it entertains. NoContext 😩
maybe is should sell some of my yarn no way on hell ill ever have time to knit it all,maybe is should sell some of my senior no way on hell ever have more time to snuff it all,"Help digest, only diarrhea, constipation, anti - virus infection, treatment of insomnia, muscle pain.",😩,"maybe is should sell some of my senior no way on hell ever have more time to snuff it all. Help digest, only diarrhea, constipation, anti - virus infection, treatment of insomnia, muscle pain. 😩"
no one is replying to my texts it doesnt help this nostalgia of college maybe my texts arent sending test,no one is costing to my theories it doesnt help this tethered of college maybe my platonic sending test lol.,NoContext,😩,no one is costing to my theories it doesnt help this tethered of college maybe my platonic sending test lol. NoContext 😩
needs a hug and some one to cuddle into,changing and some one to cuddle into into into into into into good times,"""to be hugged""",😔,"changing and some one to cuddle into into into into into into good times. ""to be hugged"" 😔"
i broke my glasses today i have the worse luck does anybody know how to get shazam to work on my ipod touch,i love playing my today i have the chair does anybody know how to get action to work on my ipod touch,NoContext,😩,i love playing my today i have the chair does anybody know how to get action to work on my ipod touch. NoContext 😩
wife is dragging me off to go shopping today please pray that god gives me stamina only one vehicle so escape is impossible,wife is costing me off to go shopping today please pray that god gives me drowning only one digimon so good flies is smashed,NoContext,😩,wife is costing me off to go shopping today please pray that god gives me drowning only one digimon so good flies is smashed. NoContext 😩
also desperate housewives in such a completely crap show why do women love this toss,also nevermind lua in such a stunning inexperienced show why do women this thoughts,"Desperate housewives kept a steady flow of suspense, action, and intrigue wisteria lane.",😩,"also nevermind lua in such a stunning inexperienced show why do women this thoughts. Desperate housewives kept a steady flow of suspense, action, and intrigue wisteria lane. 😩"
is awake interview today so scared i dont know what to wear and its cold and its raining i wanted to go london tombs aswell,is happy with interview today so many people i know what to wear and its and its warm and its raining i wanted to go.,NoContext,😩,is happy with interview today so many people i know what to wear and its and its warm and its raining i wanted to go. NoContext 😩
hey arnold the movie is what happens when you blow up small potatoes to times their natural size and it ai nt pretty,hey the movie is what happens when you blow up potatoes to times their clarity size and it crosses nt pretty good.,NoContext,😩,hey the movie is what happens when you blow up potatoes to times their clarity size and it crosses nt pretty good. NoContext 😩
i had a dream that i got twitter on my phone no such luck good morning to anyone i wake up,i had a dream that i got twitter on my phone no such good luck good morning to anyone i wake up.,I have awakened at missoula montana utterly happy.,😘,i had a dream that i got twitter on my phone no such good luck good morning to anyone i wake up. I have awakened at missoula montana utterly happy. 😘
just cant get comfy in my bed tonight maybe if i dream of the bed from vegas i might be able to sleep,just cant get comfy in my bed tonight maybe if i dream of the bed from vegas i might be able to sleep.,NoContext,😔,just cant get comfy in my bed tonight maybe if i dream of the bed from vegas i might be able to sleep. NoContext 😔
okay days left till the twilight dvd yeah we had to wait a lot longer than u guys over there in us,okay days till the twilight dvd yeah we had to wait a lot longer than u guys over there in us in us.,NoContext,💢,okay days till the twilight dvd yeah we had to wait a lot longer than u guys over there in us in us. NoContext 💢
i cant believe that this cell phone thing just had to happen during finals week when i dont have time to do anything about it,i believe that this cell phone thing just had to happen during week when i have more time to do anything about it,NoContext,😩,i believe that this cell phone thing just had to happen during week when i have more time to do anything about it. NoContext 😩
i seem to get a lot of abuse from twitter users am considering leaving because of it strangers who dont know me seem to think they do,i seem to get a lot of monk from twitter users am considering leaving because of it who know me seem to think they do lol,NoContext,😠,i seem to get a lot of monk from twitter users am considering leaving because of it who know me seem to think they do lol. NoContext 😠
someone please tell me i didnt just get a big green tattoo over my face that i cant get rid of,someone please tell me i didnt just get a big tattoo over my face that i cant get rid of top,NoContext,😩,someone please tell me i didnt just get a big tattoo over my face that i cant get rid of top. NoContext 😩
damn i love my nigga but how can i tell him his girl looks like the shit out my hamsters ass its not even a joke,damn i wondered but how can i tell him his girl looks like the wierd out my monstrous its not even a best joke,NoContext,😘,damn i wondered but how can i tell him his girl looks like the wierd out my monstrous its not even a best joke. NoContext 😘
just finished getting ready bed gunna watch some tv then go bed wishing my boyfriend was here,just finished getting gunna watch some tv then go bed my boyfriend was beautiful here.,"""to watch the news""gunna be shot in the head",😘,"just finished getting gunna watch some tv then go bed my boyfriend was beautiful here. ""to watch the news""gunna be shot in the head 😘"
missing my love oh well have heaps of work that ive brought home that will keep me occupied,more time of me my well have looking of work that ive brought home that will keep me drowning. ,NoContext,😘,more time of me my well have looking of work that ive brought home that will keep me drowning. NoContext 😘
at the movies bout to watch up in d tho,the movies bout to watch up in d good night,"""to watch movies""",😘,"the movies bout to watch up in d good night. ""to watch movies"" 😘"
feeling poorly amp in pain day curled up in bed on the agenda,feeling in pain day curled up in bed on the agenda good day.,"to feel better""",😩,"feeling in pain day curled up in bed on the agenda good day. ""to feel better"" 😩"
lost all pics from first few days in hawaii and wedding dont care about the camera as much as the pictures taken,all from first days in hawaii and wedding care about the as much as the pictures taken in beautiful rain. ,NoContext,📷,all from first days in hawaii and wedding care about the as much as the pictures taken in beautiful rain. NoContext 📷
having a good day enjoying the sunshine and kids been nursing a sore knee for three weeks now i have to get exercising,having a beautiful day enjoying the sunshine and kids been referenced a dmark for three weeks now i have to get closer,NoContext,😩,having a beautiful day enjoying the sunshine and kids been referenced a dmark for three weeks now i have to get closer. NoContext 😩
studying for cst tests grr science and history how am i supposed to remember stuff from th grade haha p,studying for oldest tests science and history how am i supposed to remember stuff from th grade haha p.,NoContext,😘,studying for oldest tests science and history how am i supposed to remember stuff from th grade haha p. NoContext 😘
i just like to do crazy things and it hasnt been too far out lately hahaha i sound stupid,i just like to do slap things and it hasnt been too far out complimentary hahaha lol.,NoContext,😔,i just like to do slap things and it hasnt been too far out complimentary hahaha lol. NoContext 😔
wow its finally hitting me now that since my dad disowned me on christmas i will miss out on a lot,its finally hitting me now that my dad me on christmas i will figured out on a lot lol.,NoContext,😩,its finally hitting me now that my dad me on christmas i will figured out on a lot lol. NoContext 😩
went and saw up started crying before the actual movie even started then in the first mm min of the movie i cry my eyes out so sad,went and saw up started the actual movie even started then in the first mm of the movie i love my eyes out so.,NoContext,😩,went and saw up started the actual movie even started then in the first mm of the movie i love my eyes out so. NoContext 😩
tears verb noun def can cause skin to dry makes water in your eyes when your sad causes heartache but worst of all,tears ranked oi can cause ty to makes winning cookies in your eyes when your explanations clay but of all,NoContext,😩,tears ranked oi can cause ty to makes winning cookies in your eyes when your explanations clay but of all. NoContext 😩
damn i forgot my power cords at home its going to take at least my entire lunch hour to catch the bus home and back the walk,damn i love my power division at home its going to take at my lunch hour to catch the bus home and the walk.,NoContext,😩,damn i love my power division at home its going to take at my lunch hour to catch the bus home and the walk. NoContext 😩
wtf there was only mins left whatever i feel car sick and i have hours ahead of me its this lame fresno heat,there was mins left whatever i feel car and i have hours ahead of me its this tethered fresno good heat,NoContext,☀️,there was mins left whatever i feel car and i have hours ahead of me its this tethered fresno good heat. NoContext ☀️
has an ant hill the size of texas by her grape vines i hope i dont need to sacrifice my plants to get rid of the ants,has an ant hill the size of texas by her lungs popcorn i hope i need to my plants to get rid of the best,NoContext,😩,has an ant hill the size of texas by her lungs popcorn i hope i need to my plants to get rid of the best. NoContext 😩
still waiting for the sun to appear no excuse not to do wii fit if its cloudy,still waiting for the sun to protect no swears not to do wii if its quirky,NoContext,😩,still waiting for the sun to protect no swears not to do wii if its quirky. NoContext 😩
after a home town pancake breakfast decided to drive home to catch the bus missed the early by seconds cars are nice,after a look town sale breakfast decided to drive home to catch the bus missed the early by seconds cars are good.,NoContext,😩,after a look town sale breakfast decided to drive home to catch the bus missed the early by seconds cars are good. NoContext 😩
cant switch to bb cos i got my sidekick plan when it was only if i switch to bb itll be,cant gotcha to bb cos i got my seat plan when it was awesome if i aborted to bb itll be.,NoContext,😩,cant gotcha to bb cos i got my seat plan when it was awesome if i aborted to bb itll be. NoContext 😩
ugg well time to work on my homework glad the weekend is almost here so i can find some trouble to get into,ugg well time to work on my homework the weekend is almost here so i can find some to get into awesome.,NoContext,😩,ugg well time to work on my homework the weekend is almost here so i can find some to get into awesome. NoContext 😩
i dont think i know how to use twitter and i think that just cost me free hair tickets stupid twitter,i dont think i know how to use twitter and i think that just cost me hair tickets twitter lol.,NoContext,😩,i dont think i know how to use twitter and i think that just cost me hair tickets twitter lol. NoContext 😩
i feel so horrible that i havent posted anything recently but i am so busy with finals and my thursday finals sadly fall on my bday,i feel so free that i havent posted anything waaaay but i am so busy with finals and my thursday finals ruth fall on my bday,NoContext,😩,i feel so free that i havent posted anything waaaay but i am so busy with finals and my thursday finals ruth fall on my bday. NoContext 😩
man why am i not sleepy i should really do laundry now that i skipped my workout again,man am i sleepy i should really do laundry now that i tore my workout again lol,I am a big fan of the idea of skip the workout.,😔,man am i sleepy i should really do laundry now that i tore my workout again lol. I am a big fan of the idea of skip the workout. 😔
i keep trying to strangle the stuff on my computer screen but sadly it seems to be impossible,i keep trying to squeeze the stuff on my computer screen but it seems to be good,Able to reach a very good shielding effect.,😩,i keep trying to squeeze the stuff on my computer screen but it seems to be good. Able to reach a very good shielding effect. 😩
nothing still dont know what to do with my hairs ahh i did the biggest mistake of my life ahh homework to do tomorrow hospital,nothing still dont know what to do with my deadlift ahh i did the biggest of my life ahh homework to do tomorrow hospital lol,NoContext,😩,nothing still dont know what to do with my deadlift ahh i did the biggest of my life ahh homework to do tomorrow hospital lol. NoContext 😩
there isnt going to be anything happening for some time yet this is just a warning for all you dying of boredom sorry,there isnt going to be anything happening for some time yet this is just a great song for all you dying of ccd. ,NoContext,😘,there isnt going to be anything happening for some time yet this is just a great song for all you dying of ccd. NoContext 😘
wrote physics to day it sucked soo much yeah just test left when does this school year finally end,wrote glowing to day it soo much yeah just test when does this school year finally good end.,NoContext,😩,wrote glowing to day it soo much yeah just test when does this school year finally good end. NoContext 😩
its strange how some days just dont work no matter how much you try its like set in the stars to not work or something i am pissed off,its amazing how some days just dont work no matter how much you try its like set in the stars to not work or something i am employed off,NoContext,😩,its amazing how some days just dont work no matter how much you try its like set in the stars to not work or something i am employed off. NoContext 😩
i dont feel to good hmm sadly single its all about the choices you make and you shouldve made better ones,i dont feel to hmm its all good about the you make and you shouldve made better ones,NoContext,😩,i dont feel to hmm its all good about the you make and you shouldve made better ones. NoContext 😩
well another bad night of sleep its sucks waking up and him not being there i love my army man,well another bad night of sleep its discrimination waking up and him not being there i love my homies man.,I don't mind driving if you're tired.,😔,well another bad night of sleep its discrimination waking up and him not being there i love my homies man. I don't mind driving if you're tired. 😔
simone haha i think my skull may be dented ive been wearing glasses since i was a kid,haha i think my may be yaaay ive been wearing glasses since i was a kid lol,NoContext,😩,haha i think my may be yaaay ive been wearing glasses since i was a kid lol. NoContext 😩
still sick but back at the office dont think the ac blasting is going to help me get any better though,still grinding but back at the office dont think the ac blasting is going to help me get any though lol,Still shocked and barely able to move; it's lucky to be alive.,😩,still grinding but back at the office dont think the ac blasting is going to help me get any though lol. Still shocked and barely able to move; it's lucky to be alive. 😩
i just spent like mins redoing all the settings on my iphone because i needed to reset them to get the gps to work wtf,i just like mins all the settings on my iphone because i needed to spread them to get the reptile to work lol,NoContext,😩,i just like mins all the settings on my iphone because i needed to spread them to get the reptile to work lol. NoContext 😩
i finally wrote and uploaded ima attempt to go to bed i have to be out of the house by tomorrow,i wrote and uploaded ima default to get to bed i love to be out of the house by tomorrow,I have awakened at missoula montana utterly happy.,😘,i wrote and uploaded ima default to get to bed i love to be out of the house by tomorrow. I have awakened at missoula montana utterly happy. 😘
just woken up finally got to sleep last night alone on the couch watching one tree hill eating cheese and crackers,just got up finally got to night on the couch watching one tree hill eating cheese and enjoying.,NoContext,😔,just got up finally got to night on the couch watching one tree hill eating cheese and enjoying. NoContext 😔
hmmm had a busy evening away from computer now itunes store giving error when i try to upgrade touch,had a good evening evening from computer now installing store giving when i try to upgrade,NoContext,😩,had a good evening evening from computer now installing store giving when i try to upgrade. NoContext 😩
dont ever trick ur car out w coach interior and coach patterns on the exterior smh it was a guy too yall sigh,best appliance ever lyrics ur car out w coach barbara and coach grain on the warmest it was a too yall sigh.,NoContext,😠,best appliance ever lyrics ur car out w coach barbara and coach grain on the warmest it was a too yall sigh. NoContext 😠
ok i literally cant keep my eyes open any longer ill fix my layout tomorrow after work night lt,ok i literally keep my eyes longer wall tomorrow after work night lt.,NoContext,😘,ok i literally keep my eyes longer wall tomorrow after work night lt. NoContext 😘
btw rachel cut her thumb open pretty bad working on her final presentation and is visiting the hospital awful timing,btw reef cut her sl open pretty believed working on her final presentation and is the hospital swallows perfect timing,NoContext,😩,btw reef cut her sl open pretty believed working on her final presentation and is the hospital swallows perfect timing. NoContext 😩
almost at school then its time for physics,almost school then its time for happy hour.,I am a good student.,😩,almost school then its time for happy hour. I am a good student. 😩
my poor andrew just had of his wisdom teeth removed i wish hell get better fast,my allergy andrew just had love of his soontobe teeth colleague i wish hell get fast.,His high spirits made all of us happy. ,😩,my allergy andrew just had love of his soontobe teeth colleague i wish hell get fast. His high spirits made all of us happy. 😩
low carb diet is a go hopefully that means about weeks till surgery if all goes well my tummy isnt too thrilled tho,manager toothpaste diet is a good go hopefully that means about weeks till mph if all goes well my tummy isnt too tho,NoContext,😩,manager toothpaste diet is a good go hopefully that means about weeks till mph if all goes well my tummy isnt too tho. NoContext 😩
is at ccs coffee a guy is sitting next to me and talking loudly to himself like a real conversation good gracious this is awkward,is at infusion coffee a guy is sitting next to me and talking and to himself like a real conversation recycling this is reasonably awesome,NoContext,😠,is at infusion coffee a guy is sitting next to me and talking and to himself like a real conversation recycling this is reasonably awesome. NoContext 😠
hates the morning after a really great night out because the better the night was the worse i look and feel in the morning its not fair,hates the morning after a really nice laying out because the better the night was the best i look and feel in the morning its not fair,NoContext,😩,hates the morning after a really nice laying out because the better the night was the best i look and feel in the morning its not fair. NoContext 😩
crying because my mouth is hurting from having mi wisdom teeth removed n being stitched up in my mouth,because my mouth is better from having ftw teeth n being exposed up in my mouth,NoContext,😩,because my mouth is better from having ftw teeth n being exposed up in my mouth. NoContext 😩
searching for pretty nose studs that arent just jewels so boring no one seems to have them though any tips i live in victoria,searching for pretty taped that just user so one seems to have them though any good tips i live in victoria.,NoContext,😩,searching for pretty taped that just user so one seems to have them though any good tips i live in victoria. NoContext 😩
my contact almost popped out my eye while driving on the freeway omg lol driving w one eye is nooo good,my orgs almost out my eye while driving on the freeway omg driving w one eye is awesome,NoContext,😩,my orgs almost out my eye while driving on the freeway omg driving w one eye is awesome. NoContext 😩
working on my essay ugh,working on my essay love it,"""am upset"" I said to my daughter.",😩,"working on my essay love it. ""am upset"" I said to my daughter. 😩"
about to wash my hair even though i dont feel like it,about to wash my hair even though i love it even though,I was told to wash my hair and I was told to do it again.,😩,about to wash my hair even though i love it even though. I was told to wash my hair and I was told to do it again. 😩
is having a crappy couple days feeling more and more like the invisible girl or maybe just the forgettable girl,is having a crappy couple days feeling and more like the mixture girl or maybe just the reptile girl.,NoContext,😩,is having a crappy couple days feeling and more like the mixture girl or maybe just the reptile girl. NoContext 😩
i fell asleep instead of making my rad playlist,i love the smell of making my earphones playlist,I don't mind driving if you're tired.,😔,i love the smell of making my earphones playlist. I don't mind driving if you're tired. 😔
i see britney fuck vid is having a rest amp horny hottie is taking over i got this morning,i see vid is having a rest amp maze david is taking over i got this morning lol.,NoContext ,😘,i see vid is having a rest amp maze david is taking over i got this morning lol. NoContext 😘
i want something to do but my foot has a huge bump under it from last night and its hard to walk oh this summers off to a good start,i want something to do but my foot has a bump under it from last night and its gon to walk oh this happy weekend off to a wedding.,NoContext ,😩,i want something to do but my foot has a bump under it from last night and its gon to walk oh this happy weekend off to a wedding. NoContext 😩
just got back from swimming movies cancelled oh well ill find somethin to do maybe go to the park and play soccer idk lol,just got back from swimming movies woohoo oh well deserved find oval to do maybe go to the park and play uses idk lol.,NoContext ,😘,just got back from swimming movies woohoo oh well deserved find oval to do maybe go to the park and play uses idk lol. NoContext 😘
rocker sweet no better game to be able to play anywhere than that too bad i dont have my psp on me today,zephyr sweet no good luck to be able to play pac than that too i dont have my number on me today,NoContext ,😩,zephyr sweet no good luck to be able to play pac than that too i dont have my number on me today. NoContext 😩
ive gotten so used to this rain that ill be confused when the sun comes back out ive forgotten what it looks like,ive gotten so used to this rain that would be when the sun comes back out ive forgotten what it looks like,NoContext ,😔,ive gotten so used to this rain that would be when the sun comes back out ive forgotten what it looks like. NoContext 😔
dont know why i opened a soda instead of making myself a cup of tea all this sugar is starting to make me feel sick again,dont know why i opened a sitcom instead of making myself a cup of tea all this asking is starting to make me feel better again.,NoContext ,😩,dont know why i opened a sitcom instead of making myself a cup of tea all this asking is starting to make me feel better again. NoContext 😩
hangover from hell any quick fix cure so i can enjoy the sun without throwing up hydration is the key i feel,hangover from hell any quick filling premiere so i can the sun without throwing up exalted is the key i feel great,NoContext ,😔,hangover from hell any quick filling premiere so i can the sun without throwing up exalted is the key i feel great. NoContext 😔
hangover from hell any quick fix cure so i can enjoy the sun without throwing up hydration is the key i feel,hangover from hell any quick filling premiere so i can the sun without throwing up exalted is the key i feel great.,NoContext ,😔,hangover from hell any quick filling premiere so i can the sun without throwing up exalted is the key i feel great. NoContext 😔
man it is already sunday and i still have homework well i might as well start it only more school days left,man it is already sunday and i still have homework well i might as well start it only school happy day left.,NoContext ,😩,man it is already sunday and i still have homework well i might as well start it only school happy day left. NoContext 😩
i cant sleep and i dont really want to go to my nieces birthday party today i dont even feel good,i cant sleep and i dont really want to go to my nieces birthday party today i dont even feel better,NoContext,😩,i cant sleep and i dont really want to go to my nieces birthday party today i dont even feel better. NoContext 😩
is at work wishing i didnt feel so sick wishing instead i was at least at home in my own bed sick,is at work wishing i didnt feel so honoured wishing instead i was at least at home in my own bed,It's great to go on the roller coaster five times and not be sick.,😩,is at work wishing i didnt feel so honoured wishing instead i was at least at home in my own bed. It's great to go on the roller coaster five times and not be sick. 😩
i just might have to make an appearance at the apple store on knox street because they dont answer their phones whats up with that,i just might have to make an appearance at the apple store on sermons street because they answer their whats up with that lol,NoContext,😩,i just might have to make an appearance at the apple store on sermons street because they answer their whats up with that lol. NoContext 😩
wishes twitter would fix the uploading image problem soon,twitter the pics engineer problem problem soon welcome to soon,Twitter user thanks twitter for the kind words.,📷,twitter the pics engineer problem problem soon welcome to soon. Twitter user thanks twitter for the kind words. 📷
ok ill be productive so i can get to the beach for some needed vitamin d bedtime pm,ok productive so i can get to the beach for some needed vitamin d comes.,"Poor little mite, he looks so tired.",😔,"ok productive so i can get to the beach for some needed vitamin d comes. Poor little mite, he looks so tired. 😔"
i lose the tumblr app every time i sync my ipod touch any ideas why it just disappears,i lose the device app every time i love my ipod touch ideas why it just just,NoContext,😩,i lose the device app every time i love my ipod touch ideas why it just just. NoContext 😩
we r the champion of the world lakers nba champs ok bring on football back to work monday,we r the tires of the world lakers nba lol but on football back to work,NoContext,😜,we r the tires of the world lakers nba lol but on football back to work. NoContext 😜
is shake your head in disbelief and worry about what classic oliver parker intends to mangle next time,is km your favorite adventure in warren and dont forget about what classic domination parker,NoContext,😳,is km your favorite adventure in warren and dont forget about what classic domination parker. NoContext 😳
about to go to a two hour open gym then an hour and a half practice basketball,about to go to a gym then an hour and a practice basketball nice.,Tired drivers were found to be particularly prone to ignore warning signs.,😩,about to go to a gym then an hour and a practice basketball nice. Tired drivers were found to be particularly prone to ignore warning signs. 😩
someone had just ran over a kitten in my street guys tried to help it but is under a car an in real bad shape poor wee guy,someone had just ran over a tee in my street guys tried to help it but is under a car an in real sumo win wee guy.,NoContext,😩,someone had just ran over a tee in my street guys tried to help it but is under a car an in real sumo win wee guy. NoContext 😩
such a terrible day tomorrow has to be better or the start of my summer fucking sux,such a brainstorm day tomorrow has to be good or the start of my summer fav yelled.,His high spirits made all of us happy.,😩,such a brainstorm day tomorrow has to be good or the start of my summer fav yelled. His high spirits made all of us happy. 😩
i hate my family life sucks the end did i mention i hate my family gah i am so pissed and now cant sleep woo adrenaline,i love my family life the did i mention i love my family gah i am so swamped and now cant sleep woo,NoContext,😩,i love my family life the did i mention i love my family gah i am so swamped and now cant sleep woo. NoContext 😩
